Date,Open,High,Low,Close,Volume
19-May-17,101.57,102.86,101.27,102.43,4636549
18-May-17,99.14,100.67,97.74,100.22,5931547
17-May-17,101.00,101.65,99.89,100.14,4618515
16-May-17,102.75,102.80,101.27,102.34,3115859
15-May-17,101.59,102.56,101.41,102.42,3756092
12-May-17,100.59,100.95,100.17,100.71,4111987
11-May-17,101.90,101.92,100.15,100.99,5220286
10-May-17,99.72,100.71,99.30,100.36,4697268
9-May-17,99.72,100.21,99.25,99.29,9742039
8-May-17,99.48,100.10,98.94,99.37,5094647
5-May-17,99.50,99.99,99.02,99.64,4086754
4-May-17,101.44,101.50,98.64,99.39,7271600
3-May-17,101.04,102.17,100.78,101.54,4278374
2-May-17,102.27,102.71,101.25,101.51,4516369
1-May-17,102.65,102.99,101.41,102.00,4512654
28-Apr-17,102.83,103.53,102.23,102.26,4015957
27-Apr-17,104.05,104.24,102.56,102.68,6727449
26-Apr-17,103.80,105.98,103.64,104.66,9856082
25-Apr-17,102.88,104.89,102.00,104.42,18383507
24-Apr-17,95.84,97.06,95.80,96.81,6739398
21-Apr-17,95.19,95.25,93.81,94.32,4128655
20-Apr-17,93.28,94.96,92.98,94.66,4852517
19-Apr-17,94.86,95.97,93.29,93.47,5550388
18-Apr-17,93.50,94.54,93.12,94.39,3311018
17-Apr-17,93.69,94.35,93.49,94.14,3719144
13-Apr-17,94.60,94.86,93.09,93.10,4705994
12-Apr-17,96.69,96.77,94.66,94.86,4773941
11-Apr-17,97.30,97.31,95.67,97.10,4250436
10-Apr-17,96.31,97.89,96.10,97.14,5168332
7-Apr-17,95.87,96.62,95.42,95.52,4463804
6-Apr-17,94.42,96.42,94.26,95.82,5421615
5-Apr-17,94.92,96.73,93.96,94.24,6061256
4-Apr-17,93.89,94.78,93.06,94.13,5797548
3-Apr-17,92.43,92.84,91.00,92.27,3685857
31-Mar-17,92.63,93.24,92.02,92.76,4020648
30-Mar-17,92.98,93.37,92.40,93.22,3672610
29-Mar-17,92.76,93.25,92.40,92.86,2513702
28-Mar-17,91.56,93.16,91.51,92.95,3866074
27-Mar-17,90.90,91.97,90.34,91.51,3425749
24-Mar-17,92.24,93.24,91.56,92.15,3634569
23-Mar-17,92.45,93.00,91.96,92.23,2586255
